model,scenario,r2,rmse,r2_degradation,rmse_increase_pct
linear_regression,no_vision,0.3902061774037052,242064.54950978208,0.5309682099187222,178.13640230104716
linear_regression,no_lidar,0.5875830082355142,199070.9808222143,0.33359137908691316,128.73603970743318
linear_regression,no_radar,0.833587908647732,126453.86865808298,0.08758647867469538,45.297707395964785
linear_regression,no_imu,0.5718098577423654,202842.060519872,0.34936452958006203,133.06907625500352
linear_regression,no_odometry,0.8572971620553049,117099.75493799623,0.06387722526712247,34.549667081558255
random_forest,no_vision,0.8916494693863484,102036.41756879337,0.001547162711140082,0.7217000166920311
random_forest,no_lidar,0.8729104025229255,110508.24535672281,0.020286229574562942,9.084370104296857
random_forest,no_radar,0.8931878578256421,101309.45842938412,8.77427184631241e-06,0.004107591275819745
random_forest,no_imu,0.5365018460813252,211039.4690299998,0.3566947860161632,108.3202703288809
random_forest,no_odometry,0.6770600441775425,176157.27030029704,0.21613658791994594,73.88752131545134
xgboost,no_vision,0.9225101406783068,86290.32752327672,0.000527279090156596,0.3419707715804774
xgboost,no_lidar,0.9027053897510069,96690.55932689407,0.020332030017456537,12.435791546275413
xgboost,no_radar,0.9228537404417207,86098.80390539604,0.00018367932674268062,0.11925916740599299
xgboost,no_imu,0.6507831810543274,183183.8815326484,0.272254238714136,113.01381295157798
xgboost,no_odometry,0.4067509627280038,238758.14840219624,0.5162864570404596,177.63787478946986
